movie_name,Box Office India,Genre1,Genre3,movie_director,actor1,actor2,actor3
Sonchiriya,6.55,Thriller, Action,Abhishek Chaubey,ÊSushant Singh Rajput , Bhumi Pednekar, Manoj Bajpai
Total Dhamaal,150.76,Comedy,,Indra Kumar,ÊAjay Devgn , Anil Kapoor, Madhuri Dixit
Gully Boy,139.38,Musical,,Zoya Akhtar,ÊRanveer Singh , Alia Bhatt, Kalki Koechlin
Amavas,2.85,Horror,,Bhushan Patel,ÊSachiin Joshi , Nargis Fakhri, Vivan Bhatena
Ek Ladki Ko Dekha Toh Aisa Laga,22.01,Romance, Drama,Shelly Chopra Dhar,ÊAnil Kapoor , Sonam Kapoor, Rajkummar Rao
Manikarnika: The Queen Of Jhansi,91.7,Biographical,,Krish,ÊJisshu Sengupta , Kangana Ranaut, Jisshu Sengupta
Thackeray,31.6,Biographical,,Abhijit Panse,ÊNawazuddin Siddiqui , Amrita Rao, Rajesh Khera
Why Cheat India,8.45,Drama, Social,Soumik Sen,ÊEmraan Hashmi , Shreya Dhanwanthary, Snigdhadeep Chatterjee
The Accidental Prime Minister,16.3,Biographical,,Sunil Bohra,,,
Uri: The Surgical Strike,244.06,Action,,Aditya Dhar,ÊVicky Kaushal , Yami Gautam, Paresh Rawal
Simmba,240.22,Action, Comedy,Rohit Shetty,ÊRanveer Singh , Sara Ali Khan, Sonu Sood
KGF,43.93,Action, Drama,Prashanth Neel,ÊYash , Srinidhi Shetty,
Zero,88.85,Comedy, Romance,Aanand L Rai,ÊShah Rukh Khan , Anushka Sharma, Katrina Kaif
Kedarnath,57.44,Romance,,Abhishek Kapoor,ÊSushant Singh Rajput , Sara Ali Khan, Nitish Bharadwaj
two,177.75,Sci-fi, Action,Shankar,ÊRajinikanth , Akshay Kumar, Amy Jackson
Bhaiaji Superhittt,6.25,Comedy, Action,Neerraj Pathak,ÊSunny Deol , Preity Zinta, Arshad Warsi
Pihu,2.5,Drama, Thriller,Vinod Kapri,ÊMyra Vishwakarma,,
Mohalla Assi,1.8,Drama,,Dr Chandrakprakash Dwivedi,ÊSunny Deol , Saakshi Tanwar, Saurabh Shukla
